component_id,component_type,error_name,created
GR003272,ground,reset_agent_by_user,1682941252.921306
GR003165,ground,periodic_goto_timeout,1682941341.091784
GR003165,ground,auto_reset_agent,1682941341.133877
GR003165,ground,read_data_matrix_timeout,1682941407.599084
GR003207,ground,missing_sticker,1682942416.501036
GR003158,ground,missing_sticker,1682943135.92424
GR003294,ground,turn_timeout,1682944361.546708
GR003294,ground,auto_reset_agent,1682944362.067214
GR003187,ground,missing_sticker,1682945241.388182
LR00002265,lift,conveyor_not_success_to_pull_the_tote_while_loading,1682945661.37991
GR003294,ground,periodic_goto_timeout,1682945824.186343
GR003294,ground,auto_reset_agent,1682945825.062031
GR003294,ground,robot_version_timeout,1682945855.959628
GR003294,ground,robot_version_timeout,1682945865.961392
GR003294,ground,robot_version_timeout,1682945875.961617
GR003294,ground,auto_reset_agent,1682945876.875769
GR003294,ground,offline,1682946130.830192
GR003195,ground,missing_sticker,1682946141.6067
GR003195,ground,robot_off_track,1682946142.31038
GR003195,ground,auto_reset_agent,1682946142.527446
GR003195,ground,following_y_error_during_movement,1682946158.698066
GR003195,ground,signup_no_sticker,1682946158.78221
LR00002265,lift,auto_reset_agent,1682946172.175033
GR003195,ground,signup_no_sticker,1682946345.558791
GR003195,ground,auto_reset_agent,1682946458.79136
GR003261,ground,corners_cv_started,1682946710.207838
GR003261,ground,turn_finished_off_sticker,1682946717.821125
GR003261,ground,signup_no_sticker,1682946718.566108
GR003195,ground,offline,1682946727.578874
GR003261,ground,auto_reset_agent,1682946798.975415
GR003258,ground,missing_sticker,1682947200.185265
GR003227,ground,turn_timeout,1682947393.885846
GR003227,ground,auto_reset_agent,1682947393.932561
GR003227,ground,read_data_matrix_timeout,1682947467.688683
GR003195,ground,signup_no_sticker,1682947992.192368
GR003195,ground,signup_no_sticker,1682948233.064819
GR003195,ground,signup_no_sticker,1682948473.559984
GR003195,ground,goto_finished_off_sticker,1682948673.384285
GR003195,ground,corners_cv_started,1682948673.386316
GR003195,ground,auto_reset_agent,1682948673.526152
GR003195,ground,offline,1682948932.003766
GR003266,ground,missing_sticker,1682948970.869221
GR003297,ground,missing_sticker,1682949185.460482
GR003227,ground,auto_reset_agent,1682949490.142587
GR003195,ground,reset_agent_by_user,1682949687.788428
GR003275,ground,missing_sticker,1682949820.469148
GR003227,ground,turn_timeout,1682951238.757979
GR003227,ground,auto_reset_agent,1682951241.73249
GR003195,ground,signup_no_sticker,1682951842.085889
GR003294,ground,turn_timeout,1682951870.096281
GR003294,ground,auto_reset_agent,1682951870.14396
GR003195,ground,reset_agent_by_user,1682951934.820572
GR003280,ground,missing_sticker,1682952002.369156
LR00002265,lift,plc_ack_timeout,1682952969.849705
GR003298,ground,goto_finished_off_sticker,1682953039.751221
GR003298,ground,corners_cv_started,1682953040.255106
GR003298,ground,turn_started_off_sticker,1682953041.792115
GR003298,ground,workaround_started,1682953042.333219
GR003298,ground,goto_finished_off_sticker,1682953043.55508
